artist,hashtag,title,filename,url
Gunta Stölzl,GuntaStölzl,"Teppichentwurf, Bauhaus Weimar",GuntaStolzl4.jpg,http://www.guntastolzl.org/Works/Bauhaus-Weimar-1919-1925/Designs-for-Carpets-and-Wall/i-5xvFjrP/0/L/gse0422-L.jpg
Florence Henri,FlorenceHenri,"Portrait Lore, 1936",FlorenceHenri1.jpg,http://www.m-bochum.de/artist_image.php?aid=63&aname=FlorenceHenri#down
Alma Siedhoff-Buscher,AlmaSiedhoffBuscher,"Nursery in the Haus Am Horn, 1923",AlmaSiedhoffBuscher2.jpg,http://1.bp.blogspot.com/-KxSNpXC7z9E/TdL0YkSmaxI/AAAAAAAAIpw/K1prsByo-zg/s640/36.jpg
Anni Albers,AnniAlbers,"Under Way, 1963",AnniAlbers1.jpg,http://www.albersfoundation.org/templates/assets/images/art-anni/01_Weavings/large/weavings_05.jpg#636
Sonia Delaunay-Terk,SoniaDelaunayTerk,"Simultaneous Dresses (The three women), 1925",soniadelaunay3.jpg,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ey-exhibition-sonia-delaunay
Getrud Arndt,GetrudArndt,Maskenfoto um 1930,GertrudArndt1.jpg,http://media1.faz.net/ppmedia/aktuell/rhein-main/537221698/1.2161247/default/selbstinszenierung-eines-der.jpg
Friedl Dicker-Brandeins,FriedlDicker,"Interrogation II, 1934-35",FreidlDickerBrandeins1.jpeg,
Otti Berger,OttiBerger,Wandteppich,OttiBerger2.jpg,https://s-media-cache-ak0.pinimg.com/736x/98/b2/db/98b2db54f3ab89619da7806054498676.jpg
Margarete Heymann-Loebenstein-Marks,MargareteHeymannLoebenstein,"Teekanne, um 1928",Margarete1.png,http://www.artnet.de/WebServices/images/ll00079lldGGTGFgneECfDrCWvaHBOc7DPC/margarete-heymann-marks-l%C3%B6benstein-teapot.jpg
Natalja Gontscharowa,NataljaGontscharowa,"Komposition, 1914",nataljagontscharowa4.jpg,http://www.tretyakovgallerymagazine.com/articles/1-2014-42/natalia-goncharova-pochoirs
Florence Henri,FlorenceHenri,"Selbstportrait, 1929",FlorenceHenri3.png,http://metmuseum.org/collection/the-collection-online/search/265385?rpp=20&pg=1&ft=New+York+City&what=Gelatin+silver+prints&who=Florence+Henri&pos=2
Benita Koch-Otte,BenitaKochOtte,"Teppichentwurf, um 1929",BenitaKochOtte1.jpg,http://www.burg-halle.de/typo3temp/pics/p1060133_aa_3b4b89db57.jpg
Grete Stern,GreteStern,"Selbstportrait, 1935",GreteStern1.png,http://bauhaus-online.de/atlas/personen/grete-stern
Lucia Moholy,LuciaMoholy,"Fotografie einer Gleichgewichtsstudie aus dem Vorkurs Moholy-Nagy, 1923/24",luciamoholy1.png,http://bauhaus-online.de/atlas/personen/lucia-moholy
Gunta Stölzl,GuntaStölzl,"Collage, 1924",GuntaStolzl2.jpg,http://4.bp.blogspot.com/-TX5cDsTgL68/TsSzOfQN1xI/AAAAAAAACjE/kEi6Y49NxAg/s640/11.jpg
Marianne Brandt,MarianneBrandt,"Teekanne, 1924",MarianneBrandt3.png,http://www.moma.org/media/W1siZiIsIjU5Mjk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTI4MHgxMjgwPiJdXQ?sha=972636a53953e690
Else Lasker-Schüler,ElseLaskerSchüler,"Indianerinnen, 1928",elselaskerschueler2.jpg,http://www.kultiversum.de/All-Mediathek/Die-Bilder/index.html?rdm=366326&file=Juedisches-Museum-Frankfurt-Main
Anni Albers,AnniAlbers,"With Verticals, 1946",AnniAlbers3.png,http://www.albersfoundation.org/templates/assets/images/art-anni/02_Wallhangings/large/wallhangings_05.jpg#705
Natalja Gontscharowa,NataljaGontscharowa,"Raucher, 1911",nataljagontscharowa3.jpg,http://digitool.jmu.ac.uk:8881/R/J5AMTRAFLXU8RVK6VHEDDMNQDEIHFFSG545LD46EQRFP6GJ7VB-00889?func=dbin-jump-full&object_id=151776&local_base=GEN01&pds_handle=GUEST
Ilse Fehling,IlseFehling,"Kostümentwurf einer Tänzerin, um 1930",IlseFehling1.jpg,https://p2.liveauctioneers.com/556/17130/5737457_1_l.jpg
Lucia Moholy,LuciaMoholy,"Bauhausgebäude von Nordwesten, 1926",luciamoholy3.png,http://bauhaus-online.de/atlas/personen/lucia-moholy
Erma Bossi,ErmaBossi,"Pariser Stadtlandschaft, 1906/09",ermabossi1.jpg,http://schlossmuseum.swhosting2.de/bilder/sonstige_bilder/Bossi%20Pariser%20Stadtlandschaft_web.jpg
Elisabeth Epstein,ElisabethEpstein,"Carnival, 1953",elisabethepstein1.png,http://www.artnet.com/artists/elisabeth-epstein/past-auction-results/2
Lou Scheper-Berkenkamp,LouScheperBerkenkamp,"Frau mit Schleier, 1926",berkenkamp2.jpg,http://bauhaus-online.de/files/imagecache/480h/bilder/7-phantastiken.jpg
Marianne Brandt,MarianneBrandt,"Hot-Water Jug, 1924",MarianneBrandt1.png,http://www.moma.org/media/W1siZiIsIjIyMzk5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEyODB4MTI4MD4iXV0?sha=b1eb80ed766d4dfe
Gunta Stölzl,GuntaStölzl,"Bauhaus- und Bürgerhäuser, 1934",GuntaStolzl5.jpg,http://www.guntastolzl.org/Works/Workshop-Zurich-1931-1967/Free-Artistic-Work-1/i-DZQWRk2/0/L/leporello%20brighter%2C%20less%20contrast%20and%20yellow%20added-L.jpg
Benita Koch-Otte,BenitaKochOtte,"Doppelentwurf für den Kinderzimmerteppich, 1923",BenitaKochOtte4.jpg,http://www.sleek-mag.com/wp-content/uploads/2012/06/4_Koch-Otte.jpg
Lilly Reich,LillyReich,"Ground-Floor House at 'Die Wohnung unserer Zeit', 1930-31",LillyReich3.jpg,http://www.moma.org/media/W1siZiIsIjE2MjUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEyODB4MTI4MD4iXV0?sha=9013c582e1ae23bc
Sonia Delaunay-Terk,SoniaDelaunayTerk,"Syncopated rhythm (The Black Snake), 1967",soniadelaunay2.jpg,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ey-exhibition-sonia-delaunay
Marianne Brandt,MarianneBrandt,"Tischuhr, um 1930",MarianneBrandt2.png,http://www.moma.org/media/W1siZiIsIjIxMDAyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEyODB4MTI4MD4iXV0?sha=f9fa56788bc3bc72
Else Lasker-Schüler,ElseLaskerSchüler,"Ein thebetanisches Brautpaar zwischen, 1927/1933",elselaskerschueler1.jpg,http://www.kultiversum.de/All-Mediathek/Die-Bilder/index.html?rdm=366326&file=Juedisches-Museum-Frankfurt-Main
Getrud Arndt,GetrudArndt,"Gläser, 1930",GertrudArndt2.jpg,http://www.detail.de/uploads/pics/Bauhaus_2_sbd_presse_faotosammlung_walther__01.jpg
Gabriele Münter,GabrieleMuenter,"Puppe, Katze, Kind, 1937",gabrielemunter2.jpg,http://www.landesmuseum-oldenburg.niedersachsen.de/live/institution/mediadb/mand_184/psfile/zoombild/67/bl_Muenter4cf65a08d536f.jpg
Marguerite Friedlaender-Wildenhain,MargueriteFriedlaenderWildenhain,"Vase ""Hallesche Form"", 1930",Friedlaender1.png,http://www.bauhaus.de/images/9022_9757_9758_9868_web_quer.jpg?w=800
Marianne von Werefkin,MariannevonWerefkin,"La cittá dolente, 1930",werefkin3.jpg,http://www.radiozones.com/images/rep_expo_lasuisseparlesrusses.php/1_grand.jpg
Lilly Reich,LillyReich,"Kochschrank, 1931",LillyReich1.png,http://www.moma.org/media/W1siZiIsIjI3MjMwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEyODB4MTI4MD4iXV0?sha=98f9255910a94f11
Elisabeth Epstein,ElisabethEpstein,"Composition, 1956",elisabethepstein2.png,http://www.artnet.com/artists/elisabeth-epstein/past-auction-results/2
